IsTarget,Child,Wiki,Sentiment,Morphological,WordNet,Word2Vec
True,True,False,True,0,0,0.470354440970243
False,True,False,True,0,0,0.503859038005994
False,False,False,True,0,0,0.410879200413873
False,False,False,False,0,0,0.245833456462967
False,False,True,True,0,0,0.330517255534236
True,True,True,False,0.666666666666667,0.3333333,0.651649099960745
False,True,True,False,0,0,0.314727825300526
True,True,True,False,0.666666666666667,0.3333333,0.651649099960745
False,True,False,False,0,0,0.458542641872679
False,False,False,False,0,0,0.418036336284136
True,True,False,False,0,0,0.458542641872679
False,False,True,False,0,0,0.256566324168571
False,False,True,False,0,0,0.164358925324484
False,False,True,False,0,0,0.515118838760837
True,True,True,False,0.666666666666667,0.3333333,0.651649099960745
False,True,False,False,0,0,0.389252405589331
False,False,False,False,0,0,0.562490159402462
True,True,True,False,0.666666666666667,0.3333333,0.651649099960745
False,False,False,True,0,0,0.402951213509119
False,False,False,True,0,0,0.11764793176661
True,True,True,True,1,0.5,0.686616656099241
False,True,False,False,0,0,0.435212555686966
False,True,True,False,0,0,0.398858763946563
False,False,False,False,0,0,0.311324192239442
False,False,False,True,0,0,0.307107955548751
False,False,True,True,0,0,0.326415922311205
False,False,False,False,0,0,0.279612011289606
False,False,True,False,0,0,0.183661172874686
False,False,False,False,0,0,0.261202746695144
True,True,True,True,0.666666666666667,0.3333333,0.651649099960745
True,True,False,True,0.5,0.25,0.537346848409272
False,True,True,True,0,0,0.224383718765289
True,True,True,False,0,0,0.476016496383263
False,True,False,True,0,0,0.317430060259667
False,True,False,True,0,0,0.222464238007816
False,False,True,True,0,0,0.258583247623581
True,True,True,False,0.5,0.5,0.830304122156547
False,True,False,True,0.2,0.2,0.329796554407963
False,True,True,True,0,0,0.233471951926685
False,False,True,True,0,0,0.292147800316062
True,True,True,False,0.25,0.25,0.544947809223506
False,True,True,False,0,0,0.277340257538415
False,False,True,False,0,0,0.50852400134985
False,False,True,False,0.333333333333333,0.3333333,0.347427206118461
False,False,True,False,0,0,0.231019471247988
False,False,True,False,0,0,0.319699825848252
True,True,True,True,0,0,0.50852400134985
False,True,False,True,0.166666666666667,0.1666667,0.360134133111955
False,True,True,True,0,0,0.303828578679869
False,False,True,False,0,0,0.281874917928955
False,True,True,True,0,0,0.180285094064418
True,True,False,True,0,0,0.552644656609464
False,True,True,True,0,0,0.50852400134985
False,False,True,False,0,0,0.238495410483653
True,True,False,True,0,0,0.465386340831457
True,True,True,True,0,0,0.50852400134985
False,True,False,True,0.2,0.25,0.277291544201027
False,True,True,True,0,0.125,0.23598405393783
False,False,True,False,0,0,0.19725358737713
True,True,True,False,0,0,0.50852400134985
False,True,False,True,0.166666666666667,0.1666667,0.325751389895055
False,True,True,True,0,0,0.0701173335788606
False,False,False,True,0.166666666666667,0.1666667,0.305757921539432
False,False,True,False,0,0,0.194524308164731
False,False,True,False,0,0,0.281874917928955
False,True,False,True,0,0,0.450390553988785
True,True,True,True,0,0,0.50852400134985
False,False,True,True,0,0,0
False,True,False,True,0,0,0.289449155410434
False,True,True,True,0,0,0.239575806661376
False,False,True,False,0,0,0.114662539137534
False,False,True,False,0,0,0.136297821648827
False,True,True,False,0,0,0.256520632730544
False,True,True,False,0,0,0.35575417254267
True,True,False,True,0.25,0.25,0.5470739374941
False,True,False,True,0,0,0.324314676419547
False,False,True,False,0,0,0.50852400134985
False,True,False,True,0,0,0.22135579206492
False,True,False,True,0.2,0.2,0.355703504513755
False,True,True,True,0,0,0.195114090260837
False,False,True,True,0,0,0.314053751705595
True,True,False,False,0,0,0.28059297083933
False,True,False,False,0,0,0.285098673690529
